Channel,Frequency,Quality,Quality Max,Signal Level,Encryption,SSID
1,2.412,62,70,-48,on,neckhouse
1,2.412,55,70,-55,off,
1,2.412,52,70,-58,on,
116413
1,2.412,52,70,-58,on,neckhouse
1,2.412,51,70,-59,on,neckhouse
2,2.417,44,70,-66,on,41 Amherst Dr - C_2.4G
6,2.437,43,70,-67,on,BELL800
6,2.437,31,70,-79,on,40 UpperFloor
6,2.437,43,70,-67,on,BELL800-V
8,2.447,59,70,-51,on,
8,2.447,59,70,-51,on,Hitron65285
9,2.452,36,70,-74,on,RT-AC1750_B1_80_2G
11,2.462,36,70,-74,on,41Amherst-5G-EXT
11,2.462,31,70,-79,on,
36,5.18,55,70,-55,on,neckhouse
149,5.745,46,70,-64,on,neckhouse
149,5.745,42,70,-68,on,neckhouse
149,5.745,35,70,-75,on,neckhouse
149,5.745,45,70,-65,off,
149,5.745,45,70,-65,on,
116413
